Estabelecimento de tratamento;cnes
2250675 HOSPITAL SANTO AFONSO;2250675
2250705 HOSPITAL DE CARIDADE BOA VISTA;2250705
2250713 HOSPITAL DE CARIDADE SAO PAULO SAO PAULO D;2250713
2250772 HOSPITAL OSWALDO CRUZ;2250772
2250802 HOSPITAL CAMPINA;2250802
2250829 HOSPITAL DE CARIDADE DE SANTO CRISTO;2250829
2250837 HOSPITAL SAO VICENTE DE PAULO;2250837
2252023 HOSPITAL DE CARIDADE SANTANA BOM RETIRO DO;2252023
2252058 HOSP DR ANUAR ELIAS AESSE BOQUEIRAO DO LEA;2252058
2252074 HOSPITAL SAO GABRIEL ARCANJO;2252074
2252082 HOSPITAL SANTA ISABEL PROGRESSO;2252082
2252139 HOSPITAL BENEFICENTE LEONILDA BRUNET;2252139
2252155 HOSPITAL BENEFICENTE PADRE CATELLI;2252155
2252163 HOSPITAL BENEFICENTE SAO JOAO ARVOREZINHA;2252163
2252171 HOSPITAL DOUTOR OSCAR BENEVOLO;2252171
2252198 HOSPITAL SAO JOSE ARROIO DO MEIO;2252198
2252228 HOSPITAL SANTA TERESINHA ENCANTADO;2252228
2252244 HOSPITAL OURO BRANCO;2252244
2252260 HOSPITAL ESTRELA;2252260
2252287 HOSPITAL BRUNO BORN;2252287
2252295 SOCIEDADE PORTUGUESA DE BENEFICENCIA;2252295
2252694 HOSPITAL ESCOLA DA UFPEL;2252694
2253046 UCPEL HOSPITAL UNIVERSITARIO SAO FRANCISCO;2253046
2253054 SANTA CASA DE MISERICORDIA DE PELOTAS;2253054
2254611 HOSPITAL VIDA SAUDE;2254611
2254956 HOSPITAL PANAMBI;2254956
2254964 HOSPITAL SANTA CRUZ;2254964
2255928 HOSPITAL MONTE ALVERNE;2255928
2255936 HOSPITAL ANA NERY;2255936
2257467 HOSPITAL DR OSWALDO DIESEL;2257467
2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQU;2257548
2257556 HOSPITAL MONTENEGRO;2257556
2257564 FUNDACAO HOSPITALAR DE ROLANTE;2257564
2257645 HOSPITAL SAO PEDRO;2257645
2257815 HOSPITAL SAO VICENTE DE PAULO;2257815
2259850 HOSPITAL ROQUE GONZALES CAIBATE;2259850
2259869 HOSPITAL DE CARIDADE SERRO AZUL;2259869
2259893 HOSPITAL SAO LUIZ GONZAGA;2259893
2259907 HOSPITAL SANTO ANGELO;2259907
2259931 HOSPITAL SANTA TERESA GUARANI DAS MISSOES;2259931
2259982 HOSPITAL DE PORTO XAVIER;2259982
2260050 HOSPITAL NOSSA SENHORA DO ROSARIO;2260050
2260069 HOSPITAL SAO JOSE;2260069
2261057 HOSPITAL DE CARIDADE DE IJUI;2261057
2261065 HOSPITAL BOM PASTOR;2261065
2261111 HOSPITAL DE CONDOR;2261111
2261154 HCN;2261154
2261987 SANTA CASA DE CARIDADE DE BAGE;2261987
2261995 HOSPITAL UNIVERSITARIO URCAMP;2261995
2262002 HOSPITAL SAO LUIZ;2262002
2262010 HOSPITAL DA COLONIA NOVA;2262010
2262274 HOSPITAL DE CARIDADE DE CARAZINHO;2262274
2262568 HOSPITAL SAO LUCAS DA PUCRS;2262568
2263858 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO;2263858
2263882 HOSPITAL MUNICIPAL DR ADERBAL SCHNEIDER;2263882
2263890 HOSPITAL SANTA BARBARA BENEFICENTE;2263890
2265052 HOSPITAL FEMINA;2265052
2265060 HOSPITAL CRISTO REDENTOR;2265060
2265664 OFTALMOCLINICA TRES PASSOS LTDA EPP;2265664
2265885 HOSPITAL AJURICABA;2265885
2266474 HOSPITAL DE CARIDADE E BENEFICENCIA;2266474
2266733 HOSPITAL MUNICIPAL CONDE MODESTO LEAL;2266733
2267101 CENTRO DE SAUDE DE PIRAI;2267101
2267187 HOSPITAL FLAVIO LEAL;2267187
2267209 HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS;2267209
2267454 HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLAN;2267454
2267713 HOSPITAL DE CANTAGALO;2267713
2267802 HOSPITAL GERAL DE ARRAIAL DO CABO;2267802
2267810 HOSPITAL SANTO ANTONIO;2267810
2268051 HOSPITAL MUNICIPAL DR JOAO PEREIRA MARTINS;2268051
2268779 CENTRO DE TERAPIA ONCOLOGICA SC LTDA;2268779
2268922 HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNI;2268922
2269341 SMS HOSPITAL MUNICIPAL JESUS AP 22;2269341
2269384 HOSPITAL FEDERAL DO ANDARAI;2269384
2269392 POLICLINICA PIQUET CARNEIRO;2269392
2269422 CLINICA DE RADIOTERAPIA OSOLANDO J MACHADO;2269422
2269457 CLINICA DE RADIOTERAPIA OSOLANDO J MACHADO;2269457
2269481 SMS HOSPITAL MUNICIPAL DA PIEDADE AP 32;2269481
2269678 SES RJ IECAC INST EST DE CARDIOLOGIA ALOYS;2269678
2269775 MS HOSPITAL DE IPANEMA;2269775
2269783 UERJ HOSPITAL UNIV PEDRO ERNESTO;2269783
2269821 MS INCA II HOSPITAL DO CANCER II;2269821
2269880 MS HGB HOSPITAL GERAL DE BONSUCESSO;2269880
2269899 HOSPITAL MARIO KROEFF;2269899
2269988 MS HSE HOSPITAL DOS SERVIDORES DO ESTADO;2269988
2270048 SMS POLICLINICA MANOEL GUILHERME PAM BANGU;2270048
2270234 SESDEC HOSPITAL ESTADUAL GETULIO VARGAS;2270234
2270242 SMS HOSPITAL MUNICIPAL BARATA RIBEIRO AP 1;2270242
2270269 SMS HOSPITAL MUNICIPAL MIGUEL COUTO AP 21;2270269
2270609 SMS RIO HOSPITAL MUNICIPAL LOURENCO JORGE;2270609
2270714 SMS HOSPITAL MATERNIDADE FERNANDO MAGALHAE;2270714
2270803 SES RJ I INST EST DIABET ENDOCRINOLOGIA IE;2270803
2272369 HOSPITAL DE PORCIUNCULA;2272369
2272601 HOSPITAL NOSSA SENHORA DO CARMO;2272601
2272784 HOSPITAL MUNICIPAL RAUL SERTA;2272784
2273098 HOSPITAL SAO SILVESTRE;2273098
2273101 HOSPITAL SAO LUCAS;2273101
2273276 MS INST NACIONAL DE TRAUMATO ORTOPEDIA;2273276
2273349 SMS RIO HOSPITAL RAPHAEL DE PAULA SOUZA AP;2273349
2273357 HOSPITAL ADVENTISTA SILVESTRE;2273357
2273411 SES RJ HOSPITAL ESTADUAL CARLOS CHAGAS;2273411
2273438 HOSPITAL CENTRAL DA POLICIA MILITAR DO EST;2273438
2273454 MS INCA HOSPITAL DO CANCER I;2273454
2273462 MS INCA HOSPITAL DO CANCER III;2273462
2273659 MS HOSPITAL FEDERAL DA LAGOA;2273659
2273748 HUV HOSPITAL UNIVERSITARIO DE VASSOURAS;2273748
2273756 HOSPITAL EUFRASIA TEIXEIRA LEITE;2273756
2274299 HOSPITAL MUNICIPAL PORPHIRIO NUNES DE AZER;2274299
2274493 ASSOCIACAO DE CARIDADE HOSPITAL SAO JOAO D;2274493
2275562 HOSPITAL ALCIDES CARNEIRO;2275562
2275635 HOSPITAL SANTA TERESA;2275635
2276186 HOSPITAL NOSSA SENHORA DA PIEDADE;2276186
2276267 HOSPITAL NATIVIDADE;2276267
2278170 CLINICA SANTA HELENA;2278170
2278286 HOSPITAL SANTA IZABEL;2278286
2278324 HOSPITAL MATERNO INFANTIL DE PIABETA VEREA;2278324
2278855 HOSPITAL SAO JOSE DO AVAI;2278855
2279207 CENTRO DE SAUDE DR RAUL TRAVASSOS;2279207
2279525 CASA DE SAUDE PARACAMBI;2279525
2280051 SANTA CASA DE MISERICORDIA DE BARRA MANSA;2280051
2280132 MS INC INSTITUTO NACIONAL DE CARDIOLOGIA;2280132
2280167 HOSPITAL UNIVERSITARIO CLEMENTINO FRAGA FI;2280167
2280183 SMS HOSPITAL MUNICIPAL SOUZA AGUIAR AP 10;2280183
2280396 HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MEN;2280396
2280477 HOSPITAL E MATERNIDADE DA ALDEIA;2280477
2280868 HOSPITAL E MATERNIDADE DE ANGRA DOS REIS H;2280868
2281384 HOSPITAL DE PRAIA BRAVA;2281384
2281821 INSTITUTO ONCOLOGICO;2281821
2282801 HOSPITAL DR CELSO ERTHAL;2282801
2283239 HOSPITAL MUNICIPAL LUIZ GONZAGA;2283239
2283328 HOSPITAL ARMANDO VIDAL;2283328
2283395 HOSPITAL SAO JOSE OPERARIO;2283395
2283794 HOSPITAL MUNICIPAL MOACYR GOMES DE AZEVEDO;2283794
2283808 HOSPITAL ANTONIO CASTRO;2283808
2284634 HOSPITAL MUNICIPAL SAO FRANCISCO XAVIER;2284634
2285932 HOSPITAL DE MIRACEMA;2285932
2286289 SANTA CASA DE MISERICORDIA DE SAO JOAO DA;2286289
2287250 SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CA;2287250
2287285 HOSPITAL DR BEDA;2287285
2287382 SANTA CASA DE MISERICORDIA DE CAMPOS;2287382
2287447 HOSPITAL ESCOLA ALVARO ALVIM;2287447
2287579 HOSPITAL FERREIRA MACHADO;2287579
2287919 CASA DE CARIDADE SANTA RITA;2287919
2287927 HOSPITAL E MATERNIDADE MARIA DE NAZARE;2287927
2288109 HOSPITAL MUNICIPAL VICTOR DE SOUZA BREVES;2288109
2288230 HOSP MUNICIPAL MATERNIDADE DR MANOEL MARTI;2288230
2288885 SANTA CASA DE MISERICORDIA DE RESENDE;2288885
2288893 HOSPITAL MUNICIPAL HENRIQUE SERGIO GREGORI;2288893
2288907 APMIR;2288907
2289709 HOSPITAL DE CLINICAS BELFORD ROXO;2289709
2290227 HOSPITAL MUNICIPAL ADAO PEREIRA NUNES;2290227
2291266 SMS HOSPITAL MUNICIPAL FRANCISCO DA SILVA;2291266
2292084 HOSPITAL DR LUIZ PALMIER;2292084
2292270 HOSPITAL MATERNIDADE SANTA THERESINHA;2292270
2292386 HOSPITAL SAO JOSE;2292386
2292513 BENEFICENCIA PORTUGUESA DE TERESOPOLIS;2292513
2292912 HOSPITAL ESCOLA LUIZ GIOSEFFI JANNUZZI;2292912
2294923 HOSPITAL DE CLINICAS NOSSA SENHORA DA CONC;2294923
2295016 CASA DE SAUDE JOAO XXIII LTDA;2295016
2295067 INSTITUTO ESTADUAL DE HEMATOLOGIA ARTHUR S;2295067
2295393 SCMRJ HOSPITAL DA GAMBOA;2295393
2295407 SMS HOSPITAL MUNICIPAL ROCHA FARIA AP 52;2295407
2295415 HOSPITAL UNIVERSITARIO GAFFREE E GUINLE;2295415
2295423 MS HOSPITAL FEDERAL CARDOSO FONTES;2295423
2296241 HOSPITAL REGIONAL DARCY VARGAS;2296241
2296306 SMS HOSPITAL MUNICIPAL SALGADO FILHO AP 32;2296306
2296594 UFRJ INSTITUTO DE GINECOLOGIA;2296594
2296616 UFRJ IPPMG INST DE PUER PED MARTAGAO GESTE;2296616
2297183 CASA DE SAUDE NOVA BOM PASTOR LTDA;2297183
2297566 HOSPITAL FRANCISCANO NOSSA SENHORA DAS GRA;2297566
2297590 MATERNIDADE MUNICIPAL DR MARIO NIAJAR;2297590
2297795 HOSPITAL DAS CLINICAS DE TERESOPOLIS;2297795
2298031 SES RJ HOSPITAL ESTADUAL ALBERTO TORRES GE;2298031
2298120 SMS HOSPITAL MUNICIPAL ALBERT SCHWEITZER A;2298120
2298317 HOSPITAL DOS PLANTADORES DE CANA;2298317
2299569 INSTITUTO MARIA SCHMITT;2299569
2300184 HOSPITAL SAO ROQUE DE LUZERNA;2300184
2300435 HOSPITAL FREI ROGERIO;2300435
2300516 HOSPITAL DE CARIDADE CORACAO DE JESUS;2300516
2301318 HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS;2301318
2301598 AME;2301598
2301601 HOSPITAL GONCALVES MARTINS;2301601
2301687 HOSPITAL ANA MARIANI;2301687
2301830 HOSPITAL MAICE;2301830
2302101 HOSPITAL HELIO ANJOS ORTIZ;2302101
2302500 HOSPITAL SALVATORIANO DIVINO SALVADOR;2302500
2302748 HOSPITAL E MATERNIDADE SANTA CECILIA;2302748
2302950 HOSPITAL SANTA TERESA;2302950
2302969 ICSC;2302969
2303167 HOSPITAL SANTO ANTONIO DE ITAPEMA;2303167
2303892 HOSPITAL SAO FRANCISCO;2303892
2304155 HOSPITAL SAO ROQUE DE SEARA;2304155
2304325 HOSPITAL O BOM SAMARITANO;2304325
2304953 HOSPITAL MUNICIPAL VICENTE VIEIRA;2304953
2305097 HSS HOSPITAL SAO SEBASTIAO;2305097
2305534 HOSPITAL SAO JUDAS TADEU;2305534
2305623 HOSPITAL NOSSA SENHORA DE FATIMA;2305623
2306336 HOSPITAL SAO JOSE;2306336
2306344 HOSPITAL JARAGUA;2306344
2306697 CASA DE SAUDE E MATERNIDADE DE COELHO NETO;2306697
2307006 SARAH SAO LUIS;2307006
2307154 HOSPITAL E MATERNIDADE ADERSON MARINHO;2307154
2307510 HOSPITAL SANTA FILOMENA;2307510
2307707 HOSPITAL MUNICIPAL ALCY ALVES ARRUDA;2307707
2307898 HOSPITAL MUNICIPAL ZUZA COELHO;2307898
2308762 HOSPITAL MUNICIPAL DJALMA MARQUES SOCORRAO;2308762
2308800 SOCORRAO II;2308800
2309254 MATERNIDADE DE ALTA COMPLEXIDADE DO MARANH;2309254
2309475 HOSPITAL DR GENESIO REGO;2309475
2310511 HOSPITAL REGIONAL DR ANTENOR ABREU;2310511
2310821 HOSPITAL MUNICIPAL DE ESTREITO;2310821
2311313 HOSPITAL REGIONAL DE SANTA LUZIA DO PARUA;2311313
2311674 HOSPITAL E MATERNIDADE BOM JESUS;2311674
2311682 HOSPITAL SANTA HELENA;2311682
2311763 HOSPITAL E MATERNIDADE DR AFONSO RODRIGUES;2311763
2312069 HOSPITAL SAMARITANO;2312069
2312077 HOSPITAL E MATERNIDADE MENINO JESUS;2312077
2312093 HOSPITAL SAO JOSE;2312093
2312123 HOSPITAL MUNICIPAL SAO FRANCISCO;2312123
2312131 HOSPITAL MUNICIPAL DE RONDON DO PARA;2312131
2312158 HOSPITAL E MATERNIDADE ELCIONE BARBALHO;2312158
2313367 HOSPITAL REGIONAL DE CAMETA;2313367
2314819 HOSPITAL REGIONAL DR OLIMPIO CARDOSO DA SI;2314819
2315343 HVU HOSPITAL VALE DO UNA;2315343
2315386 MATERNIDADE MUNICIPAL DE PIRACURUCA;2315386
2315793 HOSPITAL ESCOLA DA FAP;2315793
2316005 HOSPITAL MUNICIPAL DE MUANA;2316005
2316641 HOSPITAL MUNICIPAL DR IRACI MACHADO DE ARA;2316641
2316757 HOSPITAL MUNICIPAL DE JURUTI FRANCISCO ROD;2316757
2317028 HOSPITAL MUNICIPAL DE ULIANOPOLIS;2317028
2317397 HOSPITAL E MATERNIDADE SANTANA;2317397
2317990 HOSPITAL MUNICIPAL DE RIO MARIA;2317990
2318172 HOSPITAL E MATERNIDADE SANTO AGOSTINHO;2318172
2318180 HOSPITAL E MATERNIDADE NOSSA SENHORA DE NA;2318180
2318482 HOSPITAL MUNICIPAL SAO BENTO;2318482
2318628 HOSPITAL MUNICIPAL DE PARAGOMINAS;2318628
2318660 HOSPITAL JULIA SEFER;2318660
2318865 HOSPITAL SANTA LUCIA LTDA;2318865
2319454 HOSPITAL MEMORIAL GUARARAPES;2319454
2319659 HOSPITAL GERAL DE RORAIMA HGR;2319659
2320681 HOSPITAL DA CRIANCA SANTO ANTONIO;2320681
2321122 HOSPITAL E MATERNIDADE SINHA CARNEIRO;2321122
2321637 HOSPITAL DEPUTADO JOSE PEREIRA LIMA;2321637
2322706 HOSPITAL MUNICIPAL DE ESPERANCA DR MANUEL;2322706
2322935 HOSPITAL MUNICIPAL JADSON PESCONI;2322935
2323249 HOSPITAL INFANTIL LUCIDIO PORTELLA;2323249
2323257 HOSPITAL SANTA MARIA;2323257
2323397 MATERNIDADE DONA EVANGELINA ROSA;2323397
2323443 UNIDADE DE SAUDE ALBERTO NETO PRONTO SOCOR;2323443
2323451 HOSPITAL DA POLICIA MILITAR DIRCEU ARCOVER;2323451
2323478 HOSPITAL SAO CARLOS BORROMEO;2323478
2323559 HOSPITAL SANTA CRUZ;2323559
2323583 HOSP EST JULIO HARTMAN;2323583
2323680 HOSP REG SEN DIRCEU ARCOVERDE;2323680
2323915 2 DRS HOSP REGIONAL LEONIDAS MELO;2323915
2323931 HOSP MUNICIPAL DANIEL CARLOS DE ANDRADE;2323931
2323958 PROMEDICA;2323958
2324288 HOSP LOCAL DE LUZILANDIA;2324288
2324334 HOSP LOCAL DE DEMERVAL LOBAO;2324334
2327945 HOSPITAL DEPUTADO MURILO AGUIAR;2327945
2327961 HOSPITAL E MATERNIDADE ADOLFO BEZERRA DE M;2327961
2327996 SANTA CASA DE MORADA NOVA;2327996
2328003 HOSPITAL E CASA DE SAUDE DE RUSSAS;2328003
2328011 HOSPITAL E MATERNIDADE DIVINA PROVIDENCIA;2328011
2328046 HOSPITAL DR ALBERTO FEITOSA LIMA;2328046
2328380 HOSPITAL REGIONAL DR PONTES NETO;2328380
2328399 HOSPITAL E MATERNIDADE JESUS MARIA JOSE HM;2328399
2328534 HOSPITAL CAMILO SALGADO LTDA;2328534
2328542 HOSPEMAT DR HELIO ALVES;2328542
2328658 HOSPITAL SANTA MARIA;2328658
2328798 HOSPITAL DAS CLINICAS DE ANANINDEUA;2328798
2328968 HOSPITAL SAO LUCAS;2328968
2328976 HOSPITAL MODELO;2328976
2328992 HOSPITAL REGIONAL DE CONCEICAO DO ARAGUAIA;2328992
2329387 HOSPITAL MUNICIPAL DE ABEL FIGUEIREDO ALTA;2329387
2329484 HOSPITAL MUNICIPAL DE ACARA;2329484
2329565 HOSPITAL MUNICIPAL SAO FRANCISCO DE ASSIS;2329565
2329891 HOSPITAL E MATERNIDADE SAGRADA FAMILIA;2329891
2329905 HOSPITAL MUNICIPAL DE SANTAREM;2329905
2329913 HOSPITAL IMACULADA CONCEICAO;2329913
2330172 CENTRO DE REFERENCIA DE SAUDE DA MULHER;2330172
2330830 HOSPITAL GERAL DE ALTAMIRA SAO RAFAEL;2330830
2330938 HOSPITAL MUNICIPAL OSCAR DE DEA;2330938
2330946 HOSPITAL MUNICIPAL DE SENADOR JOSE PORFIRI;2330946
2331098 HOSPITAL MUNICIPAL DE ITAITUBA;2331098
2331500 UNIDADE MISTA DE FARO;2331500
2331578 HOSPITAL MUNICIPAL DE NOVO PROGRESSO;2331578
2331691 HOSPITAL MUNICIPAL DE JACAREACANGA;2331691
2331748 HOSPITAL MUNICIPAL DE ALMERIM;2331748
2331861 HOSPITAL SANTO ANTONIO;2331861
2331969 HOSPITAL MUNICIPAL DE ORIXIMINA;2331969
2332299 HOSPITAL SANTA CASA DE MISERICORDIA DE OBI;2332299
2332671 HOSPITAL D LUIZ I;2332671
2332779 OCULISTAS ASSOCIADOS DO PARA;2332779
2332914 HOSPITAL SANTA TERESINHA;2332914
2332930 MATERNIDADE DO POVO MATRIZ;2332930
2332981 HOSPITAL UNIVERSITARIO JOAO DE BARROS BARR;2332981
2333031 HOSPITAL DE CLINICAS GASPAR VIANA;2333031
2333228 HOSPITAL SANTA CLARA;2333228
2333430 HOSPITAL MUNICIPAL DE SAO GERALDO DO ARAGU;2333430
2333864 HOSPITAL MUNICIPAL DR GENTIL DOMINGUES;2333864
2333899 HOSP MATERN DR VICENTE ARRUDA;2333899
2333988 HOSPITAL MUNICIPAL DE MUNDO NOVO;2333988
2334216 HOSPITAL MUNICIPAL DE CEZARINA;2334216
2334275 HOSPITAL E MATERNIDADE MUNICIPAL DONA GENO;2334275
2334283 UNIDADE DE REFERENCIA MATERNO INFANTIL E A;2334283
2334321 HOSPITAL OPHIR LOYOLA;2334321
2334755 SANTA CASA SAO VICENTE DE PAULO DE TERRA B;2334755
2334801 HOSPITAL MUNICIPAL SAO LUCAS;2334801
2336758 HOSPITAL MUNICIPAL SAO PAULO;2336758
2336812 HOSPITAL REGIONAL SANTA FILOMENA;2336812
2337126 HOSPITAL ORTOPEDICO E ESPECIALIDADES;2337126
2337142 HOSPITAL SANTANA URUACU;2337142
2337274 HOSPITAL NOSSA SENHORA DE NAZARE;2337274
2337339 HOSPITAL PRONTO SOCORRO MUNICIPAL MARIO PI;2337339
2337509 CLINICA INFANTIL MENINO JESUS;2337509
2337517 HOSPITAL ORTOPEDICO DE CERES;2337517
2337525 IMEC;2337525
2337576 HOSPITAL SAO PIO X;2337576
2337754 HOSPITAL E MATERNIDADE SANTA BARBARA;2337754
2338106 HOSPITAL SANTA GENOVEVA;2338106
2338114 HOSPITAL SANTA LUCIA;2338114
2338173 HOSPITAL SANTA ROSA;2338173
2338203 HOSPITAL LUCIO REBELO;2338203
2338262 HOSPITAL DE URGENCIAS DE GOIAS DR VALDEMIR;2338262
2338351 SANTA CASA DE MISERICORDIA DE GOIANIA;2338351
2338386 FUNDACAO BANCO DE OLHOS DE GOIAS;2338386
2338424 HOSPITAL DAS CLINICAS;2338424
2338432 HOSPITAL CIDADE JARDIM;2338432
2338440 HOSPITAL GOIANIA LESTE;2338440
2338467 INSTITUTO DE OLHOS DE GOIANIA;2338467
2338564 MATERNIDADE NASCER CIDADAO;2338564
2338734 HOSPITAL ESTADUAL DR ALBERTO RASSI HGG;2338734
2339080 HOSPITAL ESTADUAL E MATERNIDADE N SRA DE L;2339080
2339110 GASTRO SALUSTIANO HOSPITAL;2339110
2339137 HOSPITAL SAO DOMINGOS;2339137
2339161 HOSPITAL CORACAO DE JESUS;2339161
2339196 HOSPITAL ESTADUAL DA MULHER HEMU;2339196
2339218 HOSPITAL SAO FRANCISCO;2339218
2339234 HOSPITAL RUY AZEREDO;2339234
2339242 CENTRO DE REFERENCIA EM DIAGNOSTICO E TERA;2339242
2339412 CIAMS NOVO HORIZONTE;2339412
2339722 HOSPITAL DA CRIANCA;2339722
2340038 HOSPITAL MUNICIPAL DOUTOR HENRIQUE SANTILL;2340038
2340194 HOSPITAL ESTADUAL DE LUZIANIA;2340194
2340526 HOSPITAL MUNICIPAL DE PIRES DO RIO;2340526
2340690 HOSPITAL MUNICIPAL DE RIO VERDE GOIAS;2340690
2340704 HOSPITAL PRESBITERIANO DR GORDON;2340704
2340895 UNIDADE DE REFERENCIA ESPECIALIZADA EM SAU;2340895
2340992 HOSPITAL ORDEM TERCEIRA;2340992
2341204 HOSPITAL DISTRITAL DE ITAPORANGA DR JOSE G;2341204
2342170 HOSPITAL E MATERNIDADE MUNICIPAL PE ALFRED;2342170
2342642 HOSPITAL MUNICIPAL DE CUITE;2342642
2343185 HOSPITAL MUNICIPAL DE INDIARA;2343185
2343525 HOSPITAL DE CARIDADE SAO PEDRO DALCANTARA;2343525
2343894 HOSPITAL MUNICIPAL DAS VERTENTES EVARISTO;2343894
2344033 HOSPITAL JOSEFA CORDEIRO VILACA;2344033
2344246 UNIDADE MISTA SAO JOSE;2344246
2344254 HOSPITAL JESUS PEQUENINO;2344254
2344491 UNIDADE MISTA JOAO SOARES DA FONSECA;2344491
2344882 HOSPITAL DO TRICENTENARIO;2344882
2346621 HOSPITAL FERREIRA LIMA;2346621
2348470 PRONTO SOCORRO SAO JOSE;2348470
2348489 HOSPITAL PROFESSOR AGAMENON MAGALHAES;2348489
2349264 HOSPITAL CENTRAL DE PAULISTA;2349264
2351633 HOSPITAL SAO VICENTE;2351633
2351668 MATERNIDADE DE DR LUIZ LEITE;2351668
2351994 HOSPITAL DE CARUARU JESUS NAZARENO;2351994
2354551 HOSPITAL SAO LUIZ;2354551
2354888 HOSPITAL DE OLHOS SANTA LUZIA;2354888
2354942 SEOPE;2354942
2355841 HOSPITAL MAE KYOLA;2355841
2356279 HOSPITAL MUNICIPAL CIENTISTA NELSON CHAVES;2356279
2356287 HOSPITAL REGIONAL INACIO DE SA;2356287
2357070 SAUDE DA MULHER;2357070
2357410 HOSPITAL SANTA LUCIA;2357410
2358050 HOSPITAL DOS FERROVIARIOS;2358050
2359561 OFTALMOVISAO;2359561
2360373 CLINICA OFTALMOS;2360373
2360411 HOSPITAL MUNICIPAL DE TOME ACU;2360411
2360470 HOSPITAL MUNICIPAL ANTONIO MARTINS DA COST;2360470
2360888 CLINICA SAO LUCAS;2360888
2361027 HOSPITAL RACHID SALDANHA DERZI;2361027
2361078 MATERNIDADE DR GRACILIANO LORDAO;2361078
2361744 HOSPITAL MUNICIPAL JAMEL CECILIO ANAPOLIS;2361744
2361787 SANTA CASA DE MISERICORDIA DE ANAPOLIS;2361787
2361949 HOSPITAL ESTADUAL DE JARAGUA SANDINO DE AM;2361949
2362287 INSTITUTO DE SAUDE ELPIDIO DE ALMEIDA;2362287
2362848 HOSPITAL ANTONIO TARGINO;2362848
2362856 HOSPITAL REGIONAL DE EMERG TRAUMA DOM LUIZ;2362856
2362880 HOSPITAL MUNICIPAL DR EDGLEY;2362880
2363070 HOSPITAL MUNICIPAL PEDRO I;2363070
2364816 HOSP REG DE BOM JESUS;2364816
2364824 HOSP EST NORBERTO MOURA;2364824
2364913 HOSPITAL REGIONAL MARIANA PIRES FERREIRA;2364913
2364921 CASA DE SAUDE NOSSA SENHORA DE FATIMA;2364921
2365146 HOSPITAL REGIONAL TIBERIO NUNES;2365146
2365154 SANTA CASA DE MISERICORDIA DE PHB;2365154
2365243 INSTITUTO PRAXIS;2365243
2365383 HOSPITAL REGIONALTERESINHA NUNES DE BARROS;2365383
2365405 HOSPITAL GERAL DE PICOS;2365405
2365480 HOSP LOCAL JULIO B DE MACEDO;2365480
2370816 SOCIEDADE BENEFICENTE DONA ELMIRIA SILVERI;2370816
2371065 HOSPITAL JULIO MAIA;2371065
2371197 HOSPITAL MUNICIPAL DE IVINHEMA;2371197
2371227 CENTRO DE REFERENCIA A SAUDE DA MULHER;2371227
2371243 FUNDACAO SERVICOS DE SAUDE DE NOVA ANDRADI;2371243
2371375 HOSPITAL EVANGELICO DR SRA GOLDSBY KING;2371375
2371707 HOSPITAL WILSON ROSADO;2371707
2371782 SANTA CASA DE BATAGUASSU;2371782
2372150 ABEMP;2372150
2372207 HOSPITAL ANA LIMA;2372207
2372479 HOSPITAL GERAL DE FARIAS BRITO HGFB;2372479
2372622 HOSPITAL E MATERNIDADE MARIA ROQUE DE MACE;2372622
2372967 HOSPITAL MUNICIPAL DR EDUARDO DIAS;2372967
2373009 HOSPITAL E MATERNIDADE SANTA LUISA DE MARI;2373009
2374439 HOSPITAL GERAL PAULINO ALVES DA CUNHA;2374439
2375265 HOSPITAL REGIONAL LINDOLFO GOMES VIDAL;2375265
2375680 SANTA CASA DE CASSILANDIA;2375680
2375826 FUNDACAO HOSPITALAR DE COSTA RICA;2375826
2375850 SANTA CASA DE MISERICORDIA DE PARANAIBA;2375850
2376180 POLICLINICA CAARAPO;2376180
2376334 SANTA CASA DE CORUMBA;2376334
2376458 HOSPITAL SAO VICENTE DE PAULA;2376458
2376474 HOSPITAL JOAO BIGATON;2376474
2376946 HOSPITAL MUNICIPAL DE PEDRO GOMES;2376946
2377330 HOSPITAL E MATERNIDADE MARIA AUXILIADORA;2377330
2377616 HOSPITAL E MATERNIDADE DONA LISETTE;2377616
2377829 HOSPITAL BOM JESUS;2377829
2378108 HOSPITAL MONDAI;2378108
2378116 ASSOCIACAO BENEFICIENTE HOSPITAL SAO LUCAS;2378116
2378183 HOSPITAL DE IPORA;2378183
2378213 HOSPITAL PALMA SOLA;2378213
2378795 HOSPITAL MUNICIPAL ANCHIETENSE;2378795
2378809 HOSPITAL CEDRO;2378809
2379333 HOSPITAL SAO VICENTE DE PAULO;2379333
2379341 MATERNIDADE DONA CATARINA KUSS;2379341
2379627 HOSPITAL SAMARIA;2379627
2379767 FUNDACAO HOSPITALAR DR JOSE ATHANAZIO;2379767
2380315 HOSPITAL SAO JOSE;2380315
2380331 HOSPITAL NOSSA SENHORA DAS DORES;2380331
